OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	82	ЗаписатьБулевоВПоток(Данные, ПотокДанных);	1000	0,004661
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	697	КонецЕсли;	5001	0,004608
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	625	КоличествоПар = КоличествоПар + 1;	4176	0,004501
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	693	КонецЕсли;	4668	0,004443
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	911	Возврат 205;	4038	0,004392
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	763	КонецЕсли;	4668	0,004386
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	596	КонецЦикла;	4500	0,004356
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	654	КонецЦикла;	4176	0,004333
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	1027	КонецФункции	4668	0,004325
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	576	МеткаТипа   = СоздатьМеткуТипа(РазмерМетки, _fixarray() + КоличествоЭлементов);	500	0,004195
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	745	ИначеЕсли Число < 65536 Тогда	4038	0,004117
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	747	РазмерМетки = 3;	4038	0,003971
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	626	КонецЦикла;	4176	0,003887
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	913	КонецФункции	4038	0,003719
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	457	БайтМетки = ?(Данные, _true(), _false());	1000	0,003487
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	333	ЭкспНеСмещ = Цел(Log(Абс) / Log(2));	666	0,003377
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	725	МеткаТипа = СоздатьМеткуТипа(1, _float64());	333	0,002822
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	592	ЗаписатьБуферВПоток(МеткаТипа, РазмерМетки, ПотокДанных);	501	0,002565
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	410	Для Индекс = 2 По 7 Цикл	2331	0,002543
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	411	Сдвиг = (7 - Индекс) * 8;	1998	0,00246
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	708	ЗаписатьВещественное64ВПоток(Число, ПотокДанных);	333	0,002408
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	94	ЗаписатьМассивВПоток(Данные, ПотокДанных);	501	0,002365
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	743	МеткаТипа   = СоздатьМеткуТипа(РазмерМетки, _uint8(), Число);	269	0,002322
